file,function,line,match,message,secret_type,severity,source,timestamp,type,variable_name,variable_value,vuln_type
index.py,api-gateway-backend,16,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:55:37.324271,VULNERABILITY,,,SQL Injection
index.py,api-gateway-backend,15,,Potential Command Injection vulnerability,,HIGH,code_scan,2026-02-14T22:55:37.324279,VULNERABILITY,,,Command Injection
,api-gateway-backend,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:55:37.856710,IAM_ERROR,,,
,file-processor,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:55:39.173775,IAM_ERROR,,,
index.py,database-connector,6,password: {os.environ.get(,Potential Database Password found,Database Password,CRITICAL,code_scan,2026-02-14T22:55:40.308863,SECRET,,,
index.py,database-connector,6,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:55:40.308874,VULNERABILITY,,,SQL Injection
index.py,database-connector,7,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:55:40.308876,VULNERABILITY,,,SQL Injection
,database-connector,,,Potentially sensitive environment variable exposed: API_KEY,,CRITICAL,env_scan,2026-02-14T22:55:40.310067,EXPOSED_SECRET_VAR,API_KEY,AKIAIOSFODNN7EXAMPLE,
,database-connector,,,AWS credentials found in environment variable: API_KEY,,CRITICAL,env_scan,2026-02-14T22:55:40.310073,AWS_CREDENTIALS,API_KEY,AKIAIOSFODNN7EXAMPLE,
,database-connector,,,Exposed secret in DATABASE_URL,,CRITICAL,env_scan,2026-02-14T22:55:40.310075,EXPOSED_SECRET_VALUE,DATABASE_URL,postgresql://admin:password@db.example.com:5432/pr,
,database-connector,,,Potentially sensitive environment variable exposed: JWT_SECRET,,CRITICAL,env_scan,2026-02-14T22:55:40.310076,EXPOSED_SECRET_VAR,JWT_SECRET,super_secret_jwt_key_do_not_share,
,database-connector,,,Exposed secret in JWT_SECRET,,CRITICAL,env_scan,2026-02-14T22:55:40.310078,EXPOSED_SECRET_VALUE,JWT_SECRET,super_secret_jwt_key_do_not_share,
,database-connector,,,Potentially sensitive environment variable exposed: ENCRYPTION_KEY,,CRITICAL,env_scan,2026-02-14T22:55:40.310079,EXPOSED_SECRET_VAR,ENCRYPTION_KEY,AES256_KEY_FOR_ENCRYPTION,
,database-connector,,,Exposed secret in ENCRYPTION_KEY,,CRITICAL,env_scan,2026-02-14T22:55:40.310081,EXPOSED_SECRET_VALUE,ENCRYPTION_KEY,AES256_KEY_FOR_ENCRYPTION,
,database-connector,,,Potentially sensitive environment variable exposed: DB_PASSWORD,,CRITICAL,env_scan,2026-02-14T22:55:40.310082,EXPOSED_SECRET_VAR,DB_PASSWORD,SuperSecretPassword123!,
,database-connector,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:55:40.455416,IAM_ERROR,,,
index.py,public-data-api,16,,Potential SQL Injection vulnerability,,HIGH,code_scan,2026-02-14T22:55:41.608419,VULNERABILITY,,,SQL Injection
,public-data-api,,,Debug mode is enabled - may leak sensitive information,,HIGH,env_scan,2026-02-14T22:55:41.608950,DEBUG_MODE,DEBUG_MODE,true,
,public-data-api,,,Failed to analyze IAM: Failed to get policies for role ScopedLambdaExecutionRole: An error occurred (AccessDenied) when calling the ListRolePolicies operation: User: arn:aws:iam::014498641736:user/LambdaSecurityAssessmentUser is not authorized to perform: iam:ListRolePolicies on resource: role ScopedLambdaExecutionRole because no identity-based policy allows the iam:ListRolePolicies action,,LOW,iam_error,2026-02-14T22:55:41.754179,IAM_ERROR,,,
,public-data-api,,,Lambda function public-data-api is publicly accessible,,CRITICAL,public_access,2026-02-14T22:55:41.900517,PUBLIC_ACCESS,,,
